"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x2d0","0x4","jlongArray _func_416(JNIEnv * env\, jsize len) *","_func_416 *","NewLongArray",""
"0x2d4","0x4","jfloatArray _func_417(JNIEnv * env\, jsize len) *","_func_417 *","NewFloatArray",""
"0x2d8","0x4","jdoubleArray _func_418(JNIEnv * env\, jsize len) *","_func_418 *","NewDoubleArray",""
"0x2dc","0x4","jboolean * _func_419(JNIEnv * env\, jbooleanArray array\, jboolean * isCopy) *","_func_419 *","GetBooleanArrayElements",""
"0x2e0","0x4","jbyte * _func_420(JNIEnv * env\, jbyteArray array\, jboolean * isCopy) *","_func_420 *","GetByteArrayElements",""
"0x2e4","0x4","jchar * _func_421(JNIEnv * env\, jcharArray array\, jboolean * isCopy) *","_func_421 *","GetCharArrayElements",""
"0x2e8","0x4","jshort * _func_422(JNIEnv * env\, jshortArray array\, jboolean * isCopy) *","_func_422 *","GetShortArrayElements",""
"0x2ec","0x4","jint * _func_423(JNIEnv * env\, jintArray array\, jboolean * isCopy) *","_func_423 *","GetIntArrayElements",""
"0x2f0","0x4","jlong * _func_424(JNIEnv * env\, jlongArray array\, jboolean * isCopy) *","_func_424 *","GetLongArrayElements",""
"0x2f4","0x4","jfloat * _func_425(JNIEnv * env\, jfloatArray array\, jboolean * isCopy) *","_func_425 *","GetFloatArrayElements",""
"0x2f8","0x4","jdouble * _func_426(JNIEnv * env\, jdoubleArray array\, jboolean * isCopy) *","_func_426 *","GetDoubleArrayElements",""
"0x2fc","0x4","void _func_427(JNIEnv * env\, jbooleanArray array\, jboolean * elems\, jint mode) *","_func_427 *","ReleaseBooleanArrayElements",""
"0x300","0x4","void _func_428(JNIEnv * env\, jbyteArray array\, jbyte * elems\, jint mode) *","_func_428 *","ReleaseByteArrayElements",""
"0x304","0x4","void _func_429(JNIEnv * env\, jcharArray array\, jchar * elems\, jint mode) *","_func_429 *","ReleaseCharArrayElements",""
"0x308","0x4","void _func_430(JNIEnv * env\, jshortArray array\, jshort * elems\, jint mode) *","_func_430 *","ReleaseShortArrayElements",""
"0x30c","0x4","void _func_431(JNIEnv * env\, jintArray array\, jint * elems\, jint mode) *","_func_431 *","ReleaseIntArrayElements",""
"0x310","0x4","void _func_432(JNIEnv * env\, jlongArray array\, jlong * elems\, jint mode) *","_func_432 *","ReleaseLongArrayElements",""
"0x314","0x4","void _func_433(JNIEnv * env\, jfloatArray array\, jfloat * elems\, jint mode) *","_func_433 *","ReleaseFloatArrayElements",""
"0x318","0x4","void _func_434(JNIEnv * env\, jdoubleArray array\, jdouble * elems\, jint mode) *","_func_434 *","ReleaseDoubleArrayElements",""
"0x31c","0x4","void _func_435(JNIEnv * env\, jbooleanArray array\, jsize start\, jsize l\, jboolean * buf) *","_func_435 *","GetBooleanArrayRegion",""
"0x320","0x4","void _func_436(JNIEnv * env\, jbyteArray array\, jsize start\, jsize len\, jbyte * buf) *","_func_436 *","GetByteArrayRegion",""
"0x324","0x4","void _func_437(JNIEnv * env\, jcharArray array\, jsize start\, jsize len\, jchar * buf) *","_func_437 *","GetCharArrayRegion",""
